Name,iso639P3code
Afrikaans,afr
Albanian,sqi
Arabic,arb
Aragonese,arg
Armenian,hyw
Asturian,ast
Azerbaijani,azj
Bashkir,bak
Basque,eus
Bavarian,bar
Belarusian,bel
Bengali,ben
Bishnupriya Manipuri,bpy
Bosnian,hbs
Breton,bre
Bulgarian,bul
Burmese,mya
Catalan,cat
Cebuano,ceb
Chechen,che
Chinese,yue
Chuvash,chv
Croatian,hbs
Czech,ces
Danish,dan
Dutch,nld
English,eng
Estonian,ekk
Finnish,fin
French,fra
Galician,glg
Georgian,kat
German,deu
Greek,tsd
Gujarati,guj
Haitian,hat
Hebrew,heb
Hindi,hin
Hungarian,hun
Icelandic,isl
Ido,ido
Indonesian,ind
Irish,gle
Italian,ita
Japanese,jpn
Javanese,jav
Kannada,kan
Kazakh,kaz
Kirghiz,kir
Korean,kor
Latin,lat
Latvian,lav
Lithuanian,lit
Lombard,lmo
Low Saxon,frs
Luxembourgish,ltz
Macedonian,mkd
Malagasy,plt
Malay,zlm
Malayalam,mal
Marathi,mar
Minangkabau,min
Nepali,npi
Newar,new
Norwegian,nor
Occitan,oci
Persian,pes
Piedmontese,pms
Polish,pol
Portuguese,por
Punjabi,pan
Romanian,ron
Russian,rus
Scots,sco
Serbian,hbs
Serbo-Croatian,hbs
Sicilian,scn
Slovak,slk
Slovenian,slv
South Azerbaijani,azb
Spanish,spa
Sundanese,sun
Swahili,swh
Swedish,swe
Tagalog,tgl
Tajik,tgk
Tamil,tam
Tatar,tat
Telugu,tel
Turkish,tur
Ukrainian,ukr
Urdu,urd
Uzbek,uzb
Vietnamese,vie
Volapük,vol
Waray-Waray,war
Welsh,cym
West Frisian,fry
Western Punjabi,pnb
Yoruba,yor