,language,total_files,db_total_files,fiction_files,db_fiction_files,non.fiction_files,db_non_fiction_files,conversation_files,db_conversation_files,professional_files,db_professional_files,grammar_files,db_grammar_files,fiction_lines,db_fiction_lines,non.fiction_lines,db_non_fiction_lines,conversation_lines,db_conversation_lines,professional_lines,db_professional_lines,grammar_lines,db_grammar_lines,total_lines,db_total_lines,delta_total_lines
1,Abkhaz_abk,1,1,0,NA,0,NA,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,211,91,0,NA,211,91,120
2,Acoma_kjq,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,256,256,0,NA,0,NA,0,NA,256,256,0
3,Alamblak_amp,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,7945,7799,0,NA,0,NA,0,NA,7945,7799,146
4,Amele_aey,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,9475,9088,0,NA,0,NA,0,NA,9475,9088,387
5,Apurina_apu,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,7958,7957,0,NA,0,NA,0,NA,7958,7957,1
6,Arabic_Egyptian_arz,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,31173,31102,0,NA,0,NA,0,NA,31173,31102,71
7,Arapesh_Mountain_ape,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,7958,7834,0,NA,0,NA,0,NA,7958,7834,124
8,Asmat_tml,2,2,0,NA,0,NA,2,2,0,NA,0,NA,0,NA,0,NA,30,28,0,NA,0,NA,30,28,2
9,Bagirmi_bmi,1,1,0,NA,0,NA,0,NA,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,22,9,22,9,13
10,Barasano_bsn,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,7956,7608,0,NA,0,NA,0,NA,7956,7608,348
11,Basque_eus,670,670,0,NA,669,669,0,NA,1,1,0,NA,0,NA,585317,585633,0,NA,213,93,0,NA,585530,585726,196
12,Berber_MiddleAtlas_tzm,1,1,0,NA,0,NA,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,213,92,0,NA,213,92,121
13,Burmese_mya,2,2,0,NA,1,1,0,NA,1,1,0,NA,0,NA,30997,30928,0,NA,212,91,0,NA,31209,31019,190
14,Burushaski_bsk,1,1,0,NA,0,NA,0,NA,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,91,54,91,54,37
15,CanelaKraho_ram,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,467,465,0,NA,0,NA,0,NA,467,465,2
16,Chamorro_cha,2,2,0,NA,1,1,0,NA,1,1,0,NA,0,NA,7925,7924,0,NA,212,92,0,NA,8137,8016,121
17,Chukchi_ckt,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,1151,1144,0,NA,0,NA,0,NA,1151,1144,7
18,Cree_Plains_crk,1,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,10,NA,0,NA,0,NA,0,NA,10,NA,NA
19,Daga_dgz,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,7954,7856,0,NA,0,NA,0,NA,7954,7856,98
20,Dani_LowerGrandValley_dni,1,1,0,NA,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,23,22,0,NA,0,NA,23,22,1
21,English_eng,1384,1384,117,117,1266,1266,0,NA,1,1,0,NA,505424,494919,879973,880236,0,NA,212,92,0,NA,1385609,1375247,10362
22,Fijian_fij,2,2,0,NA,1,1,0,NA,1,1,0,NA,0,NA,7917,7916,0,NA,217,96,0,NA,8134,8012,122
23,Finnish_fin,2575,2575,161,161,2413,2413,0,NA,1,1,0,NA,653165,653116,1257064,1257011,0,NA,216,96,0,NA,1910445,1910223,222
24,French_fra,1338,1338,126,126,1211,1211,0,NA,1,1,0,NA,531960,531889,794119,794134,0,NA,211,91,0,NA,1326290,1326114,176
25,Georgian_kat,218,218,0,NA,217,217,0,NA,1,1,0,NA,0,NA,156707,156696,0,NA,211,91,0,NA,156918,156787,131
26,German_deu,1631,1631,152,152,1478,1478,0,NA,1,1,0,NA,629526,626298,890670,890679,0,NA,213,92,0,NA,1520409,1517069,3340
27,Gooniyandi_gni,1,1,0,NA,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,20,19,0,NA,0,NA,20,19,1
28,Greek_Modern_ell,1587,1587,165,165,1420,1420,0,NA,2,2,0,NA,540378,540205,932823,932832,0,NA,426,184,0,NA,1473627,1473221,406
29,Greenlandic_West_kal,2,2,0,NA,1,1,0,NA,1,1,0,NA,0,NA,6287,6286,0,NA,211,91,0,NA,6498,6377,121
30,Guarani_gug,2,2,0,NA,1,1,0,NA,1,1,0,NA,0,NA,7897,7896,0,NA,203,83,0,NA,8100,7979,121
31,Hausa_hau,3,3,0,NA,1,1,0,NA,2,2,0,NA,0,NA,7931,7931,0,NA,422,182,0,NA,8353,8113,240
32,Hebrew_Modern_heb,1636,1636,5,5,1630,1630,0,NA,1,1,0,NA,8734,8733,988620,988784,0,NA,209,89,0,NA,997563,997606,43
33,Hindi_hin,73,73,0,NA,72,72,0,NA,1,1,0,NA,0,NA,137594,137416,0,NA,215,94,0,NA,137809,137510,299
34,Hixkaryana_hix,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,1203,1203,0,NA,0,NA,0,NA,1203,1203,0
35,HmongNjua_hnj,1,1,0,NA,0,NA,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,211,91,0,NA,211,91,120
36,Imonda_imn,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,52,51,0,NA,0,NA,0,NA,52,51,1
37,Indonesian_ind,1227,1227,0,NA,1226,1226,0,NA,1,1,0,NA,0,NA,1081196,1081617,0,NA,212,92,0,NA,1081408,1081709,301
38,Jakaltek_jac,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,7958,7918,0,NA,0,NA,0,NA,7958,7918,40
39,Japanese_jpn,1068,1068,25,25,1042,1042,0,NA,1,1,0,NA,23016,23015,833657,833667,0,NA,212,91,0,NA,856885,856773,112
40,Kannada_kan,1,1,0,NA,0,NA,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,209,89,0,NA,209,89,120
41,Karok_kyh,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,48,47,0,NA,0,NA,0,NA,48,47,1
42,Kayardild_gyd,1,1,0,NA,0,NA,0,NA,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,6,5,6,5,1
43,Kewa_kew,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,9448,9393,0,NA,0,NA,0,NA,9448,9393,55
44,Khalkha_khk,2,2,0,NA,1,1,0,NA,1,1,0,NA,0,NA,7933,7932,0,NA,210,90,0,NA,8143,8022,121
45,Khoekhoe_naq,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,7958,7956,0,NA,0,NA,0,NA,7958,7956,2
46,Kiowa_kio,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,15,13,0,NA,0,NA,0,NA,15,13,2
47,Korean_kor,854,854,0,NA,853,853,0,NA,1,1,0,NA,0,NA,799184,799261,0,NA,212,92,0,NA,799396,799353,43
48,Kutenai_kut,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,11,10,0,NA,0,NA,0,NA,11,10,1
49,Lango_laj,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,7958,7958,0,NA,0,NA,0,NA,7958,7958,0
50,Lavukaleve_lvk,2,2,0,NA,2,2,0,NA,0,NA,0,NA,0,NA,232,226,0,NA,0,NA,0,NA,232,226,6
51,Luvale_lue,1,1,0,NA,0,NA,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,210,90,0,NA,210,90,120
52,Makah_myh,5,5,0,NA,2,2,3,3,0,NA,0,NA,0,NA,5,3,49,46,0,NA,0,NA,54,49,5
53,Malagasy_plt,2,2,0,NA,1,1,0,NA,1,1,0,NA,0,NA,31454,31385,0,NA,206,86,0,NA,31660,31471,189
54,Mandarin_cmn,784,784,115,115,667,667,0,NA,2,2,0,NA,214841,214838,757871,758884,0,NA,426,184,0,NA,973138,973906,768
55,Mapudungun_arn,2,2,0,NA,1,1,0,NA,1,1,0,NA,0,NA,7958,7922,0,NA,316,144,0,NA,8274,8066,208
56,Martuthunira_vma,7,7,0,NA,0,NA,7,7,0,NA,0,NA,0,NA,0,NA,641,634,0,NA,0,NA,641,634,7
57,Maung_mph,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,676,598,0,NA,0,NA,0,NA,676,598,78
58,Maybrat_ayz,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,66,64,0,NA,0,NA,0,NA,66,64,2
59,Mixtec_Chalcatongo_mig,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,7958,7957,0,NA,0,NA,0,NA,7958,7957,1
60,Ngiyambaa_wyb,1,1,0,NA,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,67,5,0,NA,0,NA,67,5,62
61,Oromo_Harar_hae,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,7958,7956,0,NA,0,NA,0,NA,7958,7956,2
62,Otomi_Mezquital_ote,1,1,0,NA,0,NA,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,211,91,0,NA,211,91,120
63,Persian_pes,1175,1175,1,1,1173,1173,0,NA,1,1,0,NA,1018,1018,996674,996809,0,NA,210,90,0,NA,997902,997917,15
64,Quechua_Imbabura_qvi,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,7786,7786,0,NA,0,NA,0,NA,7786,7786,0
65,Rama_rma,2,2,0,NA,1,1,0,NA,0,NA,1,1,0,NA,37,36,0,NA,0,NA,156,127,193,163,30
66,Rapanui_rap,3,3,0,NA,3,3,0,NA,0,NA,0,NA,0,NA,189,186,0,NA,0,NA,0,NA,189,186,3
67,Russian_rus,1586,1586,4,4,1581,1581,0,NA,1,1,0,NA,5855,5826,1005742,1006078,0,NA,213,92,0,NA,1011810,1011996,186
68,Sango_sag,2,2,0,NA,1,1,0,NA,1,1,0,NA,0,NA,7958,7956,0,NA,213,93,0,NA,8171,8049,122
69,Sanuma_xsu,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,7958,7798,0,NA,0,NA,0,NA,7958,7798,160
70,Spanish_spa,1475,1475,119,119,1355,1355,0,NA,1,1,0,NA,557101,555446,898348,899554,0,NA,213,92,0,NA,1455662,1455092,570
71,Swahili_swh,3,3,0,NA,2,2,0,NA,1,1,0,NA,0,NA,7944,7944,0,NA,213,93,0,NA,8157,8037,120
72,Tagalog_tgl,100,100,55,55,44,44,0,NA,1,1,0,NA,108221,108206,42763,42692,0,NA,216,96,0,NA,151200,150994,206
73,Thai_tha,1002,1002,0,NA,1001,1001,0,NA,1,1,0,NA,0,NA,817050,820679,0,NA,210,90,0,NA,817260,820769,3509
74,Turkish_tur,1923,1923,0,NA,1922,1922,0,NA,1,1,0,NA,0,NA,1167028,1167955,0,NA,212,92,0,NA,1167240,1168047,807
75,Vietnamese_vie,861,861,0,NA,859,859,0,NA,2,2,0,NA,0,NA,721520,721628,0,NA,428,186,0,NA,721948,721814,134
76,Warao_wba,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,43,42,0,NA,0,NA,0,NA,43,42,1
77,Wichi_mzh,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,31157,30448,0,NA,0,NA,0,NA,31157,30448,709
78,Wichita_wic,2,2,0,NA,0,NA,2,2,0,NA,0,NA,0,NA,0,NA,147,144,0,NA,0,NA,147,144,3
79,Yagua_yad,2,2,0,NA,1,1,0,NA,1,1,0,NA,0,NA,7957,7467,0,NA,213,92,0,NA,8170,7559,611
80,Yaqui_yaq,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,7957,7935,0,NA,0,NA,0,NA,7957,7935,22
81,Yoruba_yor,2,2,0,NA,1,1,0,NA,1,1,0,NA,0,NA,30819,30767,0,NA,211,90,0,NA,31030,30857,173
82,Zoque_Copainala_zoc,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,147,146,0,NA,0,NA,0,NA,147,146,1
83,Zulu_zul,1,1,0,NA,0,NA,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,212,92,0,NA,212,92,120
