name,genre_broad,writing_system,types,tokens,mean_word_length,ttr
Abkhaz_abk,professional,Cyrl,787,1332,7.936467598475223,0.5908408408408409
Acoma_kjq,non-fiction,Latn,849,3341,5.361601884570082,0.2541155342711763
Alamblak_amp,non-fiction,Latn,25322,229160,8.520930416238844,0.11049921452260429
Amele_aey,non-fiction,Latn,14139,233776,7.803027088195771,0.06048097323934022
Apurina_apu,non-fiction,Latn,14699,159164,11.05503775767059,0.0923512854665628
Arabic_Egyptian_arz,non-fiction,Arab,74262,434040,10.090800140044706,0.17109482996958805
Arapesh_Mountain_ape,non-fiction,Latn,14890,270754,8.194022834116858,0.054994570717330125
Asmat_tml,conversation,Latn,105,153,6.352380952380952,0.6862745098039216
Bagirmi_bmi,grammar,Latn,59,79,3.0677966101694913,0.7468354430379747
Barasano_bsn,non-fiction,Latn,17089,221691,10.554567265492421,0.07708477114542313
Basque_eus,non-fiction,Latn,126640,2715508,8.99046114971573,0.04663584124959308
Basque_eus,professional,Latn,707,1407,7.776520509193777,0.5024875621890548
Berber_MiddleAtlas_tzm,professional,Latn,670,1869,6.325373134328358,0.3584804708400214
Burmese_mya,non-fiction,Mymr,6381,908516,6.412944679517317,0.007023541687763341
Burmese_mya,professional,Mymr,665,2966,5.863157894736842,0.22420768712070127
Burushaski_bsk,grammar,Latn,123,203,5.634146341463414,0.6059113300492611
CanelaKraho_ram,non-fiction,Latn,3043,51061,6.175484719027276,0.05959538591096923
Chamorro_cha,non-fiction,Latn,9653,198523,8.45737076556511,0.048624088896500654
Chamorro_cha,professional,Latn,571,1951,7.248686514886165,0.2926704254228601
Chukchi_ckt,non-fiction,Cyrl,5192,16442,10.734591679506934,0.3157766695049264
Daga_dgz,non-fiction,Latn,7839,214348,7.2148233193009315,0.03657136992180939
Dani_LowerGrandValley_dni,conversation,Latn,164,345,5.7317073170731705,0.4753623188405797
English_eng,fiction,Latn,80966,5073103,7.790973989081837,0.015959857310210337
English_eng,non-fiction,Latn,60787,5711261,7.567637817296461,0.010643358795894637
English_eng,professional,Latn,534,1753,6.670411985018727,0.30462065031374785
Fijian_fij,non-fiction,Latn,3636,227543,7.59928492849285,0.01597939730072997
Fijian_fij,professional,Latn,396,2096,6.393939393939394,0.18893129770992367
Finnish_fin,fiction,Latn,366900,5021399,10.676729354047424,0.07306728662669507
Finnish_fin,non-fiction,Latn,340673,5549590,10.467545123916484,0.06138705742226002
Finnish_fin,professional,Latn,824,1400,8.993932038834952,0.5885714285714285
French_fra,fiction,Latn,133702,4814508,8.232075810384288,0.027770646554123497
French_fra,non-fiction,Latn,97156,5436716,8.11946766025773,0.017870346731372395
French_fra,professional,Latn,647,1946,7.211746522411128,0.3324768756423433
Georgian_kat,non-fiction,Geor,81798,827965,7.567128780654784,0.09879403114865967
Georgian_kat,professional,Geor,712,1410,8.674157303370787,0.5049645390070922
German_deu,fiction,Latn,233110,5074046,9.9096263566556555,0.045941641049371644
German_deu,non-fiction,Latn,135986,5696371,9.683386525083465,0.02387239173852967
German_deu,professional,Latn,642,1642,8.250778816199377,0.3909866017052375
Gooniyandi_gni,conversation,Latn,64,84,8.640625,0.7619047619047619
Greek_Modern_ell,fiction,Grek,289990,5054722,8.959064105658817,0.05737011847535829
Greek_Modern_ell,non-fiction,Grek,174685,5738930,8.469943040329737,0.0304386009238656
Greek_Modern_ell,professional,Grek,1394,3822,7.535150645624103,0.36473050758765047
Greenlandic_West_kal,non-fiction,Latn,27006,62436,14.349477893801378,0.43253891985393045
Greenlandic_West_kal,professional,Latn,714,1071,15.782913165266107,0.6666666666666666
NA,non-fiction,Latn,12766,141501,8.584286385712048,0.09021844368591035
Guarani_gug,professional,Latn,607,1189,7.313014827018122,0.5105130361648444
Hausa_hau,non-fiction,Latn,6865,177554,6.865695557174071,0.03866429367966928
Hausa_hau,professional,Latn,602,5444,5.571428571428571,0.11058045554739163
Hebrew_Modern_heb,fiction,Hebr,27281,114252,5.2429529709321505,0.238779189861009
Hebrew_Modern_heb,non-fiction,Hebr,162005,5021329,6.077781549952162,0.03226337091236205
Hebrew_Modern_heb,professional,Hebr,786,1278,5.120865139949109,0.6150234741784038
Hindi_hin,non-fiction,Deva,34985,1252888,6.163155638130627,0.027923485578918467
Hindi_hin,non-fiction,Latn,20395,792187,7.384407943123315,0.0257451839022857
Hindi_hin,professional,Deva,653,2076,5.358346094946401,0.31454720616570325
Hixkaryana_hix,non-fiction,Latn,3732,43568,9.282690246516614,0.08565919941241278
HmongNjua_hnj,professional,Latn,486,2801,4.0473251028806585,0.17350946090681899
Imonda_imn,non-fiction,Latn,181,296,5.480662983425415,0.6114864864864865
Indonesian_ind,non-fiction,Latn,82826,5719697,8.008065100330814,0.014480837009373049
Indonesian_ind,professional,Latn,558,1726,7.302867383512544,0.32329084588644263
Jakaltek_jac,non-fiction,Latn,11762,220787,8.974069035878252,0.053273064084389025
Japanese_jpn,fiction,Jpan,26967,955184,2.5887937108317574,0.028232256821722305
Japanese_jpn,non-fiction,Jpan,53221,5213332,3.5493883993160593,0.010208634324458907
Japanese_jpn,professional,Jpan,526,2161,2.076045627376426,0.24340583063396576
Kannada_kan,professional,Knda,715,1081,9.282517482517482,0.6614246068455134
Kayardild_gyd,grammar,Latn,25,27,10.08,0.9259259259259259
Kewa_kew,non-fiction,Latn,10147,272299,7.288459643244309,0.03726418385671633
Khalkha_khk,non-fiction,Latn,15945,138743,8.096519285042334,0.11492471692265556
Khalkha_khk,professional,Cyrl,785,1548,6.741401273885351,0.5071059431524548
Khoekhoe_naq,non-fiction,Latn,10030,181370,7.200598205383849,0.05530131774824944
Kiowa_kio,non-fiction,Latn,81,154,3.382716049382716,0.525974025974026
Korean_kor,non-fiction,Hang,62831,455182,3.817717368814757,0.1380348959317372
Korean_kor,non-fiction,Kore,379629,2917163,4.2849150091273325,0.13013636879392754
Korean_kor,professional,Hang,658,1186,3.1990881458966567,0.554806070826307
Kutenai_kut,non-fiction,Latn,41,66,4.2682926829268295,0.6212121212121212
Lango_laj,non-fiction,Latn,7316,174637,5.45885729907053,0.04189261153134788
Lavukaleve_lvk,non-fiction,Latn,564,1537,5.567375886524823,0.36694860117111255
Luvale_lue,professional,Latn,587,1216,8.178875638841568,0.48273026315789475
Makah_myh,conversation,Latn,120,145,9.933333333333334,0.8275862068965517
Makah_myh,non-fiction,Latn,19,33,8.68421052631579,0.5757575757575758
Malagasy_plt,non-fiction,Latn,30456,679065,8.985914105594956,0.04484990391199664
Malagasy_plt,professional,Latn,634,1857,7.512618296529968,0.3414108777598277
Mandarin_cmn,fiction,Hans,58133,4618542,2.0284864018715703,0.012586872653750903
Mandarin_cmn,non-fiction,Hans,83494,4458428,3.9814956763360243,0.01872722852090468
Mandarin_cmn,professional,Hans,581,1606,1.8760757314974184,0.3617683686176837
Mandarin_cmn,professional,Hant,543,1488,1.9152854511970534,0.3649193548387097
Mapudungun_arn,non-fiction,Latn,16630,193538,10.67931449188214,0.08592627804358834
Mapudungun_arn,professional,Latn,422,2620,7.037914691943128,0.16106870229007633
Martuthunira_vma,conversation,Latn,1162,3157,11.77882960413081,0.36807095343680707
Maung_mph,non-fiction,Latn,2540,22452,10.126771653543306,0.11313023338678069
Maybrat_ayz,non-fiction,Latn,192,737,3.703125,0.26051560379918587
Mixtec_Chalcatongo_mig,non-fiction,Latn,3988,226957,6.412487462387161,0.017571610481280597
Ngiyambaa_wyb,conversation,Latn,499,635,9.895791583166332,0.7858267716535433
Oromo_Harar_hae,non-fiction,Latn,15944,163318,8.490842950326142,0.09762549137265947
Otomi_Mezquital_ote,grammar,Latn,7,9,4.285714285714286,0.7777777777777778
Otomi_Mezquital_ote,non-fiction,Latn,17,17,3.6470588235294117,1
NA,professional,Latn,347,1849,4.247838616714698,0.18766901027582478
Persian_pes,fiction,Arab,6129,23201,5.273290912057432,0.264169647860006
Persian_pes,non-fiction,Arab,166755,5189444,6.847123024796858,0.032133500236248815
Persian_pes,professional,Arab,641,1821,5.026521060842434,0.35200439319055465
Piraha_myp,non-fiction,Latn,647,6300,4.94435857805255,0.10269841269841269
Quechua_Imbabura_qvi,non-fiction,Latn,18288,142011,11.212926509186351,0.12877875657519489
Rama_rma,grammar,Latn,271,400,7.121771217712177,0.6775
Rama_rma,non-fiction,Latn,94,169,6.670212765957447,0.5562130177514792
Rapanui_rap,non-fiction,Latn,367,2535,4.553133514986376,0.14477317554240632
Russian_rus,fiction,Cyrl,13576,54202,6.927666470241602,0.25047046234456294
Russian_rus,non-fiction,Cyrl,221031,5577162,8.416240255891708,0.039631446961734304
Russian_rus,professional,Cyrl,745,1611,8.085906040268457,0.46244568590937307
Sango_sag,non-fiction,Latn,1691,265302,5.513897102306328,0.006373868270876209
Sango_sag,professional,Latn,400,2257,4.7525,0.17722640673460346
Sanuma_xsu,non-fiction,Latn,7983,408796,7.33471126143054,0.01952807757414456
Spanish_spa,fiction,Latn,141762,5057876,8.339512704391868,0.02802797063431369
Spanish_spa,non-fiction,Latn,105675,5709621,8.186789685356045,0.01850823373390283
Spanish_spa,professional,Latn,601,1927,7.40765391014975,0.3118837571354437
Swahili_swh,non-fiction,Latn,16317,128853,8.8280321137464,0.12663267444296988
Swahili_swh,professional,Latn,529,1786,6.568998109640832,0.2961926091825308
Tagalog_tgl,fiction,Latn,83392,949474,8.731317152724483,0.0878296825400169
Tagalog_tgl,non-fiction,Latn,29737,891858,8.694286579009315,0.03334275187305603
Tagalog_tgl,professional,Latn,591,2083,7.813874788494078,0.28372539606337016
Thai_tha,non-fiction,Thai,57096,6662914,5.771104805940872,0.008569223615973431
Thai_tha,professional,Thai,538,2331,4.5055762081784385,0.2308022308022308
Turkish_tur,non-fiction,Latn,300142,5468060,9.618920377687894,0.05489003412544852
Turkish_tur,professional,Latn,729,1364,7.5157750342935525,0.5344574780058651
Vietnamese_vie,non-fiction,Latn,34381,5865544,5.839707978243798,0.005861519408941438
Vietnamese_vie,professional,Latn,554,2502,4.077617328519856,0.2214228617106315
Vietnamese_vie,professional,Hani,567,1990,1.435626102292769,0.28492462311557787
Warao_wba,non-fiction,Latn,185,351,6.616216216216216,0.5270655270655271
Wichi_mzh,non-fiction,Latn,24348,720572,9.125225891243634,0.03378982252987904
Wichita_wic,conversation,Latn,348,529,13.21551724137931,0.6578449905482041
Yagua_yad,non-fiction,Latn,21829,142301,12.003389985798709,0.15340018692770957
Yagua_yad,professional,Latn,636,1180,8.679245283018869,0.5389830508474577
Yaqui_yaq,non-fiction,Latn,14013,240424,8.900378220224077,0.05828453066249625
Yoruba_yor,non-fiction,Latn,12744,790879,5.748822975517891,0.016113716510363786
Yoruba_yor,professional,Latn,512,2548,5.05078125,0.20094191522762953
Zoque_Copainala_zoc,non-fiction,Latn,420,846,7.616666666666666,0.49645390070921985
Zulu_zul,professional,Latn,710,1077,8.998591549295774,0.659238625812442
